2.01,6.31,4.77,1.53,3.14,2.38,0.76
1.99,5.69,4.20,1.48,2.86,2.11,0.75
2.00,6.02,4.52,1.50,3.01,2.26,0.75
1.98,6.40,4.88,1.52,3.24,2.47,0.77
2.03,5.86,4.37,1.49,2.89,2.15,0.74
2.01,5.70,4.19,1.51,2.84,2.09,0.75
1.99,6.66,5.16,1.50,3.35,2.60,0.76
1.99,6.66,5.16,1.50,3.35,2.60,0.76
1.98,6.14,4.63,1.51,3.10,2.34,0.76
2.01,5.71,4.22,1.49,2.83,2.09,0.74
2.00,6.15,4.64,1.51,3.07,2.32,0.75
2.00,6.15,4.64,1.51,3.07,2.32,0.75
2.03,5.86,4.34,1.53,2.89,2.13,0.75
1.99,5.66,4.16,1.50,2.84,2.09,0.75
2.01,5.38,3.87,1.51,2.67,1.92,0.75
2.01,5.38,3.87,1.51,2.67,1.92,0.75
2.01,5.36,3.87,1.49,2.67,1.93,0.74
2.02,5.77,4.26,1.52,2.86,2.11,0.75
1.97,6.11,4.60,1.51,3.10,2.33,0.77
1.97,6.11,4.60,1.51,3.10,2.33,0.77
1.98,5.72,4.22,1.50,2.89,2.13,0.76
2.02,5.15,3.67,1.48,2.55,1.82,0.73
2.00,5.65,4.14,1.51,2.83,2.07,0.75
2.00,5.65,4.14,1.51,2.83,2.07,0.75
1.98,5.81,4.33,1.48,2.93,2.19,0.75
2.03,5.13,3.64,1.49,2.52,1.79,0.73
2.02,5.97,4.46,1.51,2.96,2.21,0.75
2.02,5.97,4.46,1.51,2.96,2.21,0.75
1.99,6.11,4.60,1.51,3.07,2.31,0.76
2.02,5.36,3.87,1.49,2.65,1.91,0.74
2.02,5.36,3.87,1.49,2.65,1.91,0.74
2.04,5.41,3.93,1.49,2.66,1.93,0.73
2.04,5.41,3.93,1.49,2.66,1.93,0.73
1.96,5.67,4.18,1.48,2.89,2.13,0.76
1.99,5.45,3.95,1.49,2.74,1.99,0.75
1.99,5.45,3.95,1.49,2.74,1.99,0.75
2.00,5.52,4.02,1.50,2.75,2.01,0.75
1.97,5.74,4.25,1.49,2.91,2.16,0.76
2.03,5.43,3.94,1.49,2.68,1.94,0.74
